rsid,metabolite_id,p,gene,study,biochemical_name
rs561463382,metabolite_1442,6.853e-37,unknown,Yin et. al. 2022,beta-hydroxyisovalerate
rs4646080,metabolite_100000096,7.368e-47,AGMAT,Yin et. al. 2022,4-guanidinobutanoate
rs3980014,metabolite_100000096,1.837e-201,AGMAT,Yin et. al. 2022,4-guanidinobutanoate
rs113177297,metabolite_100002769,1.285e-15,AGMAT,Yin et. al. 2022,argininate*
rs61757683,metabolite_35,9.2e-36,ALDH4A1,Yin et. al. 2022,S-1-pyrroline-5-carboxylate
rs602946,metabolite_100010895,2.47e-15,CDA,Yin et. al. 2022,2'-O-methylcytidine
rs3215400,metabolite_100010895,5.066e-13,CDA,Yin et. al. 2022,2'-O-methylcytidine
rs121918007,metabolite_267,3.865e-15,ALPL,Yin et. al. 2022,choline phosphate
rs546162892,metabolite_100015835,1.138e-24,unknown,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs545845176,metabolite_100015836,1.166e-15,unknown,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs148563337,metabolite_100000846,8.183e-17,AKR1A1,Yin et. al. 2022,erythritol
rs2229540,metabolite_100000406,1.716e-123,AKR1A1,Yin et. al. 2022,ribitol
rs61757676,metabolite_100000406,1.634e-30,AKR1A1,Yin et. al. 2022,ribitol
rs72688441,metabolite_100001740,1.865e-14,AKR1A1,Yin et. al. 2022,mannitol/sorbitol
rs72690839,metabolite_100000846,2.403e-91,AKR1A1,Yin et. al. 2022,erythritol
rs1196113701,metabolite_100001197,2.587e-12,unknown,Yin et. al. 2022,10-undecenoate (11:1n1)
rs324420,metabolite_100003686,2.344e-131,FAAH,Yin et. al. 2022,N-palmitoylglycine
rs1571138,metabolite_100003119,9.559e-55,FAAH,Yin et. al. 2022,N-oleoyltaurine
rs1571138,metabolite_100006726,3.998e-56,FAAH,Yin et. al. 2022,linoleoyl ethanolamide
rs1571138,metabolite_1137,1.327e-46,FAAH,Yin et. al. 2022,oleoyl ethanolamide
rs11583922,metabolite_100001999,1.239e-23,CYP4A11,Yin et. al. 2022,21-hydroxypregnenolone disulfate
rs11583922,metabolite_100021131,4.451e-31,CYP4A11,Yin et. al. 2022,undecenoylcarnitine (C11:1)
rs11211387,metabolite_100006614,1.556e-21,CYP4A11,Yin et. al. 2022,adipoylcarnitine (C6-DC)
rs6683138,metabolite_100001145,4.587e-18,CYP4A11,Yin et. al. 2022,3-hydroxysebacate
rs28597732,metabolite_100019972,3.011e-23,CYP4A11,Yin et. al. 2022,dodecenedioate (C12:1-DC)*
rs12132488,metabolite_100001102,4.808e-32,CYP4A11,Yin et. al. 2022,dodecanedioate (C12-DC)
rs12132488,metabolite_100001197,2.408e-92,CYP4A11,Yin et. al. 2022,10-undecenoate (11:1n1)
rs12132488,metabolite_100001613,6.984e-32,CYP4A11,Yin et. al. 2022,tetradecanedioate (C14-DC)
rs11211406,metabolite_100020254,1.158e-15,CYP4A11,Yin et. al. 2022,glycine conjugate of C10H14O2 (1)*
rs35562865,metabolite_100001197,3.607e-15,CYP4A11,Yin et. al. 2022,10-undecenoate (11:1n1)
rs1799822,metabolite_100001593,2.035e-23,CPT2,Yin et. al. 2022,glutarylcarnitine (C5-DC)
rs1799822,metabolite_100005850,3.126e-13,CPT2,Yin et. al. 2022,3-methylglutarylcarnitine (2)
rs13375749,metabolite_100006614,5.548e-27,CPT2,Yin et. al. 2022,adipoylcarnitine (C6-DC)
rs17785370,metabolite_100015834,6.807e-11,CPT2,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs17785370,metabolite_100015835,1.195e-13,CPT2,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs17785370,metabolite_100015836,3.883e-34,CPT2,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs17785370,metabolite_100015846,5.352e-11,CPT2,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs11591147,metabolite_100002107,1.383e-16,PCSK9,Yin et. al. 2022,palmitoyl sphingomyelin (d18:1/16:0)
rs11591147,metabolite_100005986,3.453e-13,unknown,Yin et. al. 2022,"sphingomyelin (d18:1/24:1, d18:2/24:0)*"
rs11591147,metabolite_100008954,1.525e-18,PCSK9,Yin et. al. 2022,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
rs11591147,metabolite_100009162,3.06e-11,PCSK9,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
rs11591147,metabolite_100009272,3.109e-11,PCSK9,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs11591147,metabolite_100021000,4.325e-15,unknown,Yin et. al. 2022,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
rs11591147,metabolite_100021162,3.076e-16,PCSK9,Yin et. al. 2022,palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)
rs11591147,metabolite_266,4.846e-14,PCSK9,Yin et. al. 2022,cholesterol
rs10714295,metabolite_100009066,4.26e-15,ANGPTL3,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
rs4350231,metabolite_100008994,2.966e-19,ANGPTL3,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs11311703,metabolite_1528,1.286e-14,ANGPTL3,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
rs35664253,metabolite_100000616,9.729e-21,ANGPTL3,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs11361002,metabolite_100008993,7.193e-11,ANGPTL3,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
rs4949874,metabolite_100001251,1.283e-47,ACADM,Yin et. al. 2022,decanoylcarnitine (C10)
rs7550949,metabolite_926,7.637e-13,ACADM,Yin et. al. 2022,caproate (6:0)
rs76963882,metabolite_100009271,6.488e-20,ACADM,Yin et. al. 2022,(S)-3-hydroxybutyrylcarnitine
rs76963882,metabolite_932,1.157e-18,ACADM,Yin et. al. 2022,caprylate (8:0)
rs11161468,metabolite_100020261,3.399e-20,unknown,Yin et. al. 2022,glutamine conjugate of C6H10O2 (1)*
rs11161468,metabolite_100020262,1.894e-13,unknown,Yin et. al. 2022,glutamine conjugate of C6H10O2 (2)*
rs1303169,metabolite_100001527,5.405e-39,ACADM,Yin et. al. 2022,hexanoylglycine
rs7554984,metabolite_100020631,4.177e-29,ACADM,Yin et. al. 2022,4-methylhexanoylglutamine
rs537665883,metabolite_100000781,1.366e-13,ACADM,Yin et. al. 2022,hexanoylcarnitine (C6)
rs537665883,metabolite_100001247,5.804e-14,ACADM,Yin et. al. 2022,octanoylcarnitine (C8)
rs537665883,metabolite_100002796,8.89e-14,ACADM,Yin et. al. 2022,cis-4-decenoate (10:1n6)*
rs4949877,metabolite_100000781,2.047e-113,ACADM,Yin et. al. 2022,hexanoylcarnitine (C6)
rs11161493,metabolite_100001733,2.818e-41,ACADM,Yin et. al. 2022,hexanoylglutamine
rs12123977,metabolite_100002259,4.755e-86,ACADM,Yin et. al. 2022,cis-4-decenoylcarnitine (C10:1)
rs12123977,metabolite_100002796,2.59e-95,ACADM,Yin et. al. 2022,cis-4-decenoate (10:1n6)*
rs61622554,metabolite_100001247,3.665e-81,ACADM,Yin et. al. 2022,octanoylcarnitine (C8)
rs61622554,metabolite_100006620,6.958e-60,ACADM,Yin et. al. 2022,nonanoylcarnitine (C9)
rs112401426,metabolite_100002259,2.784e-15,ACADM,Yin et. al. 2022,cis-4-decenoylcarnitine (C10:1)
rs34296620,metabolite_100001810,4.852e-30,DDAH1,Yin et. al. 2022,dimethylarginine (SDMA + ADMA)
rs2810876,metabolite_100000263,1.671e-122,KYAT3,Yin et. al. 2022,imidazole lactate
rs1254152519,metabolite_825,5.394e-28,DPYD,Yin et. al. 2022,uracil
rs3918290,metabolite_825,5.857e-148,DPYD,Yin et. al. 2022,uracil
rs4970728,metabolite_825,2.978e-27,DPYD,Yin et. al. 2022,uracil
rs28461755,metabolite_100001398,3.111e-11,AMPD2,Yin et. al. 2022,"3,7-dimethylurate"
rs10802092,metabolite_100001300,2.292e-11,HAO2,Yin et. al. 2022,alpha-hydroxyisovalerate
rs10923889,metabolite_503,8.008e-13,PHGDH,Yin et. al. 2022,serine
